protein_Organism,count
['Haloquadratum walsbyi'],47
['Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)'],46
['Escherichia coli O157:H7'],46
['Cricetus cricetus'],46
['Klebsiella pneumoniae subsp. pneumoniae'],46
['Escherichia coli SE11'],46
['Mycobacterium kansasii ATCC 12478'],45
['Dickeya dadantii  (Erwinia chrysanthemi )'],45
['Streptococcus pneumoniae serotype 4'],44
['Natronomonas pharaonis DSM 2160'],43
['Nanosalina sp.'],43
['Comamonas testosteroni'],43
['Thermoplasma acidophilum'],43
['Hepatitis C virus genotype 1b'],43
['Mastigocladopsis repens'],43
['Clostridioides difficile'],42
['Propionibacterium freudenreichii subsp. shermanii'],42
['Marichromatium purpuratum 984'],42
['Lactococcus lactis'],42
['Synechococcus sp.'],42
['Saccharolobus solfataricus'],41
['Shewanella oneidensis'],41
['Lactobacillus acidophilus'],41
['Neurospora crassa'],41
['Human coronavirus OC43'],41
['Getah virus'],40
['Pseudomonas aeruginosa PAO1'],40
['Arthrobacter sp'],40
['Oryzias latipes'],40
['Methanothermobacter thermautotrophicus'],39
['Influenza A virus'],39
['Escherichia coli BL21(DE3)'],38
['Camelus dromedarius'],38
['Todarodes pacificus'],38
['Bombyx mori'],37
['Enterococcus faecium'],37
['Chlorobaculum tepidum'],37
['Streptomyces lividans'],37
['Mastigocladus laminosus'],37
['Severe acute respiratory syndrome coronavirus'],37
['Exiguobacterium sibiricum'],36
['Acinetobacter phage phiAB6'],36
['Agrobacterium fabrum'],36
['Murine norovirus 1'],36
['Polytomella sp. Pringsheim 198.80'],35
['Acetabularia acetabulum'],35
['Candidatus Lokiarchaeota archaeon'],35
"['Mus musculus', 'Gloeobacter violaceus']",34
['Halalkalibacterium halodurans'],34
['Canis lupus familiaris'],34
['Chlorella variabilis'],33
['Gloeobacter violaceus PCC 7421'],33
['Thermoplasmatales archaeon SG8-52-1'],33
['Ligilactobacillus salivarius'],33
['Aliivibrio fischeri'],33
['Vitis vinifera'],33
['Vibrio cholerae'],33
['Nicotiana tabacum'],33
['Equus caballus'],33
['Tribolium castaneum'],32
['Acaryochloris marina MBIC11017'],32
['Yersinia pestis'],32
['Enterococcus faecalis'],31
['Pseudomonas sp.'],31
['Streptomyces sp. CNH189'],31
['Phaedon cochleariae'],31
['Novosphingobium aromaticivorans'],31
['Enterobacteria phage f1'],30
['Enterococcus casseliflavus EC10'],30
['Methylotuvimicrobium alcaliphilum'],30
['Vibrio harveyi'],30
['Emiliania huxleyi'],30
['Methylocystis sp. ATCC 49242'],30
['Butyrivibrio proteoclasticus'],30
['Cupriavidus necator'],30
['Serratia marcescens'],30
['Thermothelomyces thermophilus'],30
['Citrobacter koseri'],29
['Shigella flexneri'],29
['Nicotiana alata'],29
['Daboia russelii'],28
['Sorghum bicolor'],28
['Xenopus tropicalis'],28
['Aspergillus niger'],28
['Bionectria ochroleuca'],27
['Halorhodospira halochloris'],27
['Pyrobaculum aerophilum'],27
"['Homo sapiens', 'Mus musculus']",27
['Pseudozyma antarctica'],27
['Guillardia theta'],27
['Arthrospira platensis HN01'],27
['Geobacillus stearothermophilus'],27
['unidentified'],27
['Rhinocladiella mackenziei CBS 650.93'],27
['Actinia fragacea'],27
['Arachis hypogaea'],27
['Chromobacterium violaceum'],26
['Anoxybacillus flavithermus'],26
['Streptomyces sp.'],26
['Alcaligenes xylosoxydans xylosoxydans'],26
['Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311)'],26
['Rhodococcus opacus'],26
['Unknown prokaryotic organism'],26
['Thiorhodovibrio frisius'],25
['Salpingoeca rosetta'],25
['Cyanidioschyzon merolae'],25
['uncultured bacterium'],24
['Erythrobacter longus'],24
['Streptococcus pneumoniae'],24
['Anaerotignum propionicum'],24
['Alcaligenes faecalis'],24
['Bordetella bronchiseptica'],24
['Chloroflexus aurantiacus'],24
['Streptomyces clavuligerus'],23
['Saccharolobus shibatae'],23
['Rhodococcus jostii'],23
['Methanococcus maripaludis'],23
['Streptomyces sp. FLA'],23
['Starkeya novella'],23
['Streptomyces xinghaiensis'],23
['Actinoplanes teichomyceticus'],22
['Rhizobium tropici'],22
['Haloarcula marismortui'],22
['Neisseria wadsworthii 9715'],22
['Sulfolobus acidocaldarius'],22
['Xanthomonas campestris pv. campestris'],22
['Hordeum vulgare subsp. vulgare'],22
['Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)'],22
['Prasiola crispa'],22
['Alkalilimnicola ehrlichii MLHE-1'],22
['Castellaniella defragrans'],22
['Clostridium perfringens'],21
['Niallia circulans'],21
['Cryptosporidium parvum'],21
['Halobacterium sp.'],21
['Zymomonas mobilis subsp. mobilis'],21
['Cricetulus griseus'],21
['Nostoc punctiforme'],21
['Medicago sativa'],21
['Rhizobium radiobacter'],21
['Aerococcus viridans'],21
['Pseudomonas sp. ATCC 13867'],20
['Brucella abortus'],20
['Geobacter metallireducens'],20
['Myxococcus xanthus'],20
['Cryptococcus neoformans var. grubii serotype A'],20
['Pseudomonas cichorii'],20
['Grass carp reovirus'],20
['Rhodoblastus acidophilus'],19
['Geobacillus thermodenitrificans'],19
['Bacillus thermoproteolyticus'],19
['Vicugna pacos'],19
['Streptomyces venezuelae'],19
['Campylobacter jejuni'],19
['Neisseria meningitidis serogroup B'],19
['Mycobacteroides abscessus'],19
"['Streptomyces viridosporus', 'Saccharolobus solfataricus']",19
['Triticum aestivum'],19
"['Homo sapiens', 'Dickeya dadantii  (Erwinia chrysanthemi )']",19
['Cutibacterium acnes HL110PA4'],19
['Mycobacterium marinum'],18
['Streptomyces viridosporus'],18
['Cyriopagopus schmidti'],18
['Leishmania mexicana'],18
['Methanosarcina acetivorans'],18
['Dickeya chrysanthemi'],18
['Amphitrite ornata'],18
['Porphyromonas gingivalis'],18
['Human immunodeficiency virus 1'],18
['Rhodococcus erythropolis'],18
['Anaerolinea thermophila'],18
['Brevibacillus brevis'],18
['Pseudomonas mevalonii'],17
['Streptomyces avermitilis'],17
['Sphingomonas paucimobilis'],17
"['Homo sapiens', 'Periplaneta americana']",17
['Paenarthrobacter ureafaciens'],17
['Azotobacter vinelandii'],17
['Chlorobaculum tepidum TLS'],17
"['Homo sapiens', 'Severe acute respiratory syndrome coronavirus 2']",17
['Phaeocystis globosa virus 12T'],17
['Salmonella enterica subsp. enterica serovar Typhi str. CT18'],16
['Callithrix jacchus'],16
['Synechococcus elongatus'],16
['Haliclona sp.'],16
['Mycolicibacterium phlei'],16
['Streptococcus pyogenes serotype M1'],16
['Yersinia frederiksenii'],16
['Trametes versicolor'],16
['Human cytomegalovirus'],16
['Dionaea muscipula'],16
['Spodoptera frugiperda'],16
['Albifimbria verrucaria'],16
['Picea sitchensis'],16
['Persephonella marina'],16
['Providencia stuartii'],16
['Nocardia farcinica'],16
['Komagataella phaffii'],16
['Clostridium acetobutylicum'],16
['Calothrix sp. NIES-2098'],16
['Heterocapsa pygmaea'],16
['Solanum lycopersicum'],15
['Bacillus licheniformis'],15
['Hepatitis C virus genotype 1a'],15
['Streptomyces carzinostaticus'],15
['Bothrops moojeni'],15
['Macaca mulatta'],15
['Streptomyces lasalocidi'],15
['Coxsackievirus A21'],15
['Fowlpox virus'],15
['Medicago truncatula'],15
['Staphylococcus hominis'],15
['Escherichia coli K-12'],15
['Paenarthrobacter nicotinovorans'],15
['Bacillus sp.'],15
['Rubrobacter xylanophilus'],15
['Paramecium bursaria Chlorella virus CZ-2'],14
['Enterobacter cloacae subsp. cloacae'],14
['Vaccinia virus   (Vaccinia virus )'],14
['Catharanthus roseus'],14
['Actinomycetospora chiangmaiensis'],14
['Talaromyces marneffei PM1'],14
['Lactococcus lactis subsp. cremoris'],14
['Lactiplantibacillus plantarum'],14
['Bison bison bison'],14
['Pseudomonas fragi'],14
['Dictyostelium discoideum'],14
['Paracoccus denitrificans'],14
['Picosynechococcus sp.'],14
['Naegleria fowleri'],14
"['Aequorea victoria', 'Homo sapiens']",14
['Lentinula edodes'],14
['Stenotrophomonas maltophilia'],14
['Phaffia rhodozyma'],14
['Acyrthosiphon pisum'],13
['Mycolicibacterium smegmatis (strain MKD8)'],13
['Rhodococcus sp'],13
['Candidatus Arsenophonus nilaparvatae'],13
['Crassostrea gigas'],13
['Photobacterium profundum'],13
['Corynebacterium diphtheriae'],13
['Catenulispora acidiphila'],13
['Rhizobium meliloti'],13
['Volvariella volvacea'],13
['Heliothis virescens'],13
['Burkholderia pseudomallei'],13
['Cochliobolus lunatus'],13
['Anopheles gambiae'],13
['Limosilactobacillus reuteri'],13
['Porcine epidemic diarrhea virus'],13
['Paenarthrobacter aurescens'],13
['Yersinia pseudotuberculosis serotype I'],12
['Streptomyces nogalater'],12
['Codium fragile'],12
['Mycolicibacterium vanbaalenii'],12
['Thermococcus kodakarensis'],12
['Vibrio alginolyticus'],12
['Oryza sativa subsp. indica'],12
['Polaromonas sp.'],12
['Geobacter sulfurreducens'],12
['Burkholderia cenocepacia  (Burkholderia cepacia )'],12
['Cryptococcus neoformans var. grubii H99'],12
['Apicomplexa'],12
['Butea monosperma'],12
['Bordetella petrii'],12
['Actinomadura sp.'],12
['Candida tropicalis'],12
['Hasarius adansoni'],12
['Eleftheria terrae'],12
['Staphylococcus epidermidis'],12
['Alvinella pompejana'],12
['Coxsackievirus B1'],12
['Kluyveromyces lactis'],12
['Clostridium symbiosum'],11
['Methanosarcina barkeri'],11
['Rhizobium etli'],11
['Ricinus communis'],11
"['Homo sapiens', 'Eimeria acervulina']",11
['Pseudonocardia autotrophica'],11
"['Rattus norvegicus', 'Recombinant vesicular stomatitis Indiana virus rVSV-G/GFP']",11
['Hypocrea jecorina'],11
['Solanum habrochaites'],11
['Bradyrhizobium diazoefficiens'],11
['Loxosceles intermedia'],11
['Scheffersomyces stipitis'],11
['Coxsackievirus B3'],11
['Mycolicibacterium hassiacum'],11
['Flavobacterium johnsoniae'],11
['Canavalia ensiformis'],11
['Thermococcus kodakarensis  (Pyrococcus kodakaraensis )'],11
"['Escherichia coli', 'Meleagris gallopavo']",11
['Thermosynechococcus sp. NK55a'],11
['Thermus aquaticus'],11
['Magnetospirillum magnetotacticum'],10
['Nodosilinea nodulosa PCC 7104'],10
['Gamma-proteobacterium Hot 75m4'],10
['Desulfovibrio vulgaris'],10
['Klebsiella pneumoniae 30660/NJST258_1'],10
['Streptomyces wuyuanensis'],10
['Thermus thermophilus JL-18'],10
['Strongylocentrotus purpuratus'],10
['Clostridium butyricum E4 str. BoNT E BL5262'],10
['Nipah virus'],10
['Vibrio parahaemolyticus serotype O3:K6'],10
['Leptospira biflexa serovar Patoc'],10
['Mycobacteroides abscessus subsp. abscessus'],10
['Ralstonia nicotianae'],10
['Streptomyces lavendulae subsp. lavendulae'],10
['Kribbella flavida'],10
['Streptomyces ambofaciens'],10
['Aeropyrum pernix'],10
['Clostridium pasteurianum'],10
['Aromatoleum evansii'],10
['uncultured Bdellovibrionales bacterium'],10
['Levilactobacillus brevis'],10
['Shinella zoogloeoides'],10
['Octopus bimaculoides'],10
['Enterobacteria phage RB51'],10
['Rauvolfia serpentina'],10
['Streptococcus pneumoniae serotype 2'],10
['Mammalian orthoreovirus 3'],10
['Streptantibioticus cattleyicolor'],9
['Mentha piperita'],9
['Phocaeicola vulgatus'],9
['Haloferax mediterranei'],9
['Solanum melongena'],9
['Streptomyces vinaceus'],9
['Saccharopolyspora erythraea'],9
['Pyrobaculum calidifontis'],9
['Thermoplasma volcanium'],9
['Poliovirus type 3'],9
['Phytolacca americana'],9
['Canavalia brasiliensis'],9
['Streptomyces peucetius'],9
['Phaeodactylum tricornutum'],9
['Bifidobacterium longum subsp. longum'],9
"['Homo sapiens', 'Pyrococcus abyssi']",9
['Pseuderanthemum haikangense'],9
"['Severe acute respiratory syndrome coronavirus', 'Enterobacteria phage T4']",9
['Nonomuraea gerenzanensis'],9
['Clostridium botulinum'],9
['Streptomyces sp. SCSIO 01934'],9
['Unknown (ancestral species)'],9
['Ruegeria lacuscaerulensis ITI-1157'],9
['Zea mays subsp. mays'],9
['Thermococcus profundus'],8
['Sesamum indicum'],8
['Streptomyces exfoliatus'],8
['Lactiplantibacillus plantarum JDM1'],8
['Sphingobium sp.'],8
['Paenibacillus glycanilyticus'],8
['Jeotgalibacillus marinus'],8
['Desulfofustis sp. PB-SRB1'],8
['Nicotiana benthamiana'],8
['Pseudomonadota bacterium'],8
['Thermoanaerobacter thermohydrosulfuricus'],8
['Legionella pneumophila'],8
['Heterocephalus glaber'],8
['Salmonella enterica'],8
['Fischerella ambigua'],8
['Betula pendula'],8
['Aspergillus japonicus'],8
['Psychrobacter arcticus'],8
['Bacillus amyloliquefaciens'],8
['Tetranychus urticae'],8
['Stenotrophomonas sp. CW117'],8
['Stenotrophomonas acidaminiphila'],8
['Murine norovirus GV/CR10/2005/USA'],8
['Human rhinovirus 16'],8
['Roseobacter denitrificans  (Erythrobacter sp. )'],8
['Thomasclavelia ramosa'],8
['Christella parasitica'],8
['Clostridioides difficile NAP08'],8
['Oleispira antarctica'],8
['Streptomyces cinnabarigriseus'],8
['Streptomyces coelicolor'],8
['Bradyrhizobium japonicum'],8
['Trypanosoma brucei'],8
['Naja sagittifera'],8
['Oxalobacter formigenes'],8
['Cyclocybe aegerita'],8
['Solenopsis invicta'],8
['Dengue virus type 2'],8
['Bothrops insularis'],8
['Acidianus filamentous virus 1'],8
['Pan troglodytes'],8
['Thermoascus aurantiacus'],8
['Chromohalobacter salexigens'],8
['Desulfocurvibacter africanus'],8
['Brevundimonas diminuta'],7
['Ornithodoros moubata'],7
['Stevia rebaudiana'],7
['Burkholderia cenocepacia'],7
"['Mus musculus', 'Eptatretus burgeri']",7
['Streptococcus uberis'],7
['Prescottella equi 103S'],7
['Legionella pneumophila subsp. pneumophila'],7
['Mangifera indica'],7
['Planktothrix agardhii'],7
['Bordetella pertussis'],7
['Recombinant vesicular stomatitis Indiana virus rVSV-G/GFP'],7
['Acidithiobacillus ferrooxidans  (Ferrobacillus ferrooxidans )'],7
['Human immunodeficiency virus type 2 subtype A'],7
['Pseudomonas sp'],7
"['Homo sapiens', 'Caenorhabditis elegans']",7
['Saccharomyces pastorianus'],7
['Escherichia coli 536'],7
['Citrus sinensis'],7
['Fragaria ananassa'],7
['Pyrenochaetopsis sp'],7
['Naja atra'],7
['Yersinia enterocolitica'],7
['Psychrobacter cryohalolentis'],7
['Brassica juncea'],7
['Acinetobacter baylyi'],7
['Burkholderia thailandensis'],7
['Streptomyces alboniger'],7
['Rhodococcus sp. M8'],7
['Xanthomonas oryzae pv. oryzae'],7
['Ramazzottius varieornatus'],7
['Plasmodium yoelii yoelii'],7
['Dickeya dadantii'],7
['Yersinia enterocolitica serotype O:8 / biotype 1B'],7
['Streptomyces hygroscopicus'],7
['Santalum album'],7
['Caulobacter vibrioides'],7
['Candida glabrata'],7
['Sulfurospirillum deleyianum'],7
['Citrobacter freundii'],7
['Cryptococcus neoformans var. neoformans serotype D'],7
['Ruegeria pomeroyi'],7
['Streptomyces melanosporofaciens'],6
['Bifidobacterium longum'],6
['Bacillus subtilis subsp. natto'],6
['Vibrio sp.'],6
['Chikungunya virus'],6
['Phaseolus angularis'],6
['Talaromyces marneffei'],6
['Thermus parvatiensis'],6
['Aquincola tertiaricarbonis'],6
['Bifidobacterium bifidum S17'],6
['Malassezia globosa'],6
['Roseovarius nubinhibens'],6
['Mycobacterium bovis'],6
['metagenome'],6
['Gibberella zeae'],6
['Streptomyces marincola'],6
['Francisella tularensis subsp. tularensis'],6
['Porcine torovirus'],6
['Epiphyas postvittana'],6
['Streptococcus pyogenes'],6
['Camelus bactrianus'],6
['Giardia intestinalis'],6
['Bacillus thuringiensis HD-771'],6
['Photorhabdus laumondii subsp. laumondii'],6
['Ralstonia solanacearum'],6
['Cloacimonas acidaminovorans'],6
['Simian immunodeficiency virus'],6
['Penicillium brasilianum'],6
['Chlorobium limicola'],6
"['Pseudomonas phage OBP', 'Enterobacteria phage T4']",6
['Streptococcus pyogenes MGAS1882'],6
['Bacillus pumilus'],6
['Acidovorax sp. MR-S7'],6
['Nitrosomonas europaea'],6
['Phaeosphaeria nodorum'],6
['Actinoalloteichus sp. WH1-2216-6'],6
['Streptomyces platensis'],6
['Bacillus thuringiensis'],6
['Shewanella putrefaciens'],6
['Janibacter sp. HTCC2649'],6
['Vibrio vulnificus'],6
['Halobacillus halophilus'],6
['Pseudomonas pavonaceae'],6
['Amycolatopsis orientalis'],6
['Shewanella loihica'],6
['Prunus persica'],6
['Metallosphaera sedula'],6
['Chloracidobacterium thermophilum'],6
['Reovirus type 3'],6
['Gluconobacter japonicus'],6
['Atropa belladonna'],6
['Hypocrea atroviridis'],6
['Kuenenia stuttgartiensis'],6
['Acetivibrio thermocellus'],6
['Gloydius halys'],6
['Cavia porcellus'],6
['Thauera chlorobenzoica'],6
['Acidithiobacillus ferrooxidans'],6
['Morus nigra'],6
['Tick-borne encephalitis virus European subtype'],6
['Proteus vulgaris'],6
['Streptomyces sp. Tu6071'],6
"['Severe acute respiratory syndrome coronavirus 2', 'Enterobacteria phage T4']",6
['Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)'],6
['Odontosoria chusana'],6
['Bacillus cereus SJ1'],6
['Pseudomonas aeruginosa 2192'],6
['Crocodylus porosus'],6
['Plasmodium vivax (strain Salvador I)'],6
['Bothrops pirajai'],6
['Xanthobacter autotrophicus'],6
['Ophiostoma piceae'],6
['Jeotgalicoccus sp. ATCC 8456'],5
['Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604'],5
['Tolypothrix sp. PCC 7601'],5
['Salinibacter ruber'],5
['Phaeocystis'],5
['Saccharophagus degradans'],5
['Guillardia theta (strain CCMP2712)'],5
['Alicyclobacillus acidocaldarius subsp. acidocaldarius'],5
['Entacmaea quadricolor'],5
['Culex quinquefasciatus'],5
['Phytophthora sojae'],5
['Populus trichocarpa'],5
['Bungarus caeruleus'],5
['Shewanella frigidimarina'],5
['Cylindrospermum stagnale PCC 7417'],5
['Streptomyces avidinii'],5
['Heterobasidion irregulare'],5
"[""Synechococcus sp. (strain JA-2-3B'a)""]",5
['Homarus gammarus'],5
['Plantago major'],5
['Parageobacillus caldoxylosilyticus NBRC 107762'],5
['Cannabis sativa'],5
['Klebsiella aerogenes'],5
['Mycolicibacterium thermoresistibile'],5
['Mesomycoplasma ovipneumoniae 14811'],5
['Cupriavidus sp. P4-10-C'],5
['Mucor circinelloides'],5
['Streptomyces griseoflavus'],5
['Bacillus subtilis PY79'],5
['Pangolin coronavirus'],5
['Pseudomonas amygdali pv. tabaci'],5
['Acinetobacter baumannii AYE'],5
['Vulcanisaeta moutnovskia'],5
['Clostridiales bacterium oral taxon 876 str. F0540'],5
['Methanomethylophilus alvus'],5
['Artocarpus integer'],5
['Diploptera punctata'],5
['Montipora efflorescens'],5
['Kitasatospora setae'],5
['Wolinella succinogenes'],5
['Alkalilimnicola ehrlichii'],5
['Bovine enterovirus'],5
['Azotobacter vinelandii (strain DJ / ATCC BAA-1303)'],4
['Escherichia phage P2'],4
['Bacillus spizizenii'],4
['Achromobacter cycloclastes'],4
"['Homo sapiens', 'Desulfovibrio vulgaris']",4
['Lachancea thermotolerans'],4
['Human rhinovirus 2'],4
['Chimeric peptide'],4
['Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)'],4
"['Mus musculus', 'Rattus norvegicus']",4
['Hepatitis B virus genotype D subtype ayw (isolate France/Tiollais/1979)'],4
['uncultured bacterium esnapd13'],4
['Granulicella tundricola'],4
['Campylobacter jejuni BJ-CJGB96299'],4
['Vipera ammodytes meridionalis'],4
['Anopheles darlingi'],4
['Streptomyces purpurascens'],4
['Trypanosoma brucei brucei (strain 927/4 GUTat10.1)'],4
['Rhodococcus ruber'],4
['Mycobacterium ulcerans'],4
['Diutina rugosa'],4
['Penicillium roqueforti'],4
['Thermus scotoductus (strain ATCC 700910 / SA-01)'],4
['Ciona robusta'],4
['Calotropis gigantea'],4
['Bifidobacterium dentium ATCC 27679'],4
['Echovirus E18'],4
['Ficedula albicollis'],4
['uncultured marine organism'],4
['Clostridium kluyveri'],4
['Kitasatospora'],4
['Streptomyces sp. B9173'],4
['Emericella nidulans'],4
['Ectothiorhodospira haloalkaliphila'],4
['Cercospora beticola'],4
['Hapalosiphon welwitschii UH IC-52-3'],4
['Actinosynnema pretiosum subsp. pretiosum'],4
['Thermoproteus tenax'],4
['Parengyodontium album'],4
['Pseudomonas phage OBP'],4
['Proteus mirabilis'],4
['Thermocrispum sp. RD004668'],4
"['Homo sapiens', 'Bos taurus']",4
